ID,Nom,Lat,Lon,Date
369,Soro,55.4301,11.5566,1162
370,Tvis,56.350278,8.685,1162
371,Armenteira,42.463056,-8.747222,1162
372,Reifenstein,51.346667,10.363333,1162
373,Le Jau,42.68368,2.2747,1162
374,Chassagne,45.9668,5.181944,1162
375,Dalon,45.27365,1.22608,1162
376,Bonlieu en Limousin,46.0875,2.30535,1162
377,Beuil,45.9075,1.060278,1162
378,Loc-Dieu,44.33936,1.93181,1162
379,Aubignac,46.39737,1.50617,1162
380,Prebenoit,46.35754,2.04182,1162
381,Le Palais,45.99348,1.76996,1162
382,Les Chatelliers,46.48843,-0.13049,1162
383,Boschaud,45.4225,0.731944,1163
384,Loccum,52.451944,9.150556,1163
385,Strata Florida,52.274167,-3.85,1164
386,Coupar Angus,56.543056,-3.266667,1164
387,Roma,57.511456,18.449268,1164
388,Bonaval,40.968333,-3.293889,1164
389,Nogales,42.148611,-5.921389,1164
390,Dobrilugk,51.611064,13.545389,1165
391,Aguiar,40.881111,-6.933333,1165
392,Klaarkamp,53.311944,5.939444,1165
393,Om,56.0525,9.749556,1166
394,Grosbot,45.55227,0.39877,1166
395,Bonnecombe,44.24341,2.55523,1166
396,Charmoye,48.9291,3.84721,1167
397,Marmosoglio,41.583333,12.833333,1167
398,Sellieres,48.533889,3.681389,1167
399,Vaux-la-Douce,47.86234,5.73926,1168
400,Les Chaumes,46.170014,-1.074281,1168
401,Casalvolone,45.4,8.466667,1169
402,Les Feuillants,43.353889,1.139722,1169
403,Bouro,41.659167,-8.266667,1169
404,Benavides,42.168333,-4.958333,1169
405,St.-Jean au Bois,31.764444,35.158333,1169
406,Palazuelos,41.752767,-4.633717,1169
407,Junquera,42.316667,-7.633333,1170
408,Sao Pedro de Aguias,41.083333,-7.516667,1170
409,Ulmet,43.465556,4.634722,1170
410,Fermoy,52.136111,-8.283333,1170
411,Beaulieu-en-Bassigny,47.824722,5.566944,1170
412,Sandoval,42.4925,-5.466667,1170
413,Doberan,54.107778,11.909722,1171
414,Worschweiler,49.284156,7.3075,1171
415,Saint-Sébastien-hors-les-Murs,41.855556,12.515556,1171
